pmid,doi,pmcid,year,journal,title,search_arm,article_types,is_review_or_secondary,abstract_reports_auc,abstract_reports_sensitivity,abstract_reports_specificity,pmc_fulltext_available
25349172,10.1038/mp.2014.127,,2014,Molecular psychiatry,Prognostic serum miRNA biomarkers associated with Alzheimer's disease shows concordance with neuropsychological and neuroimaging assessment.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,yes,yes,no
25589731,10.3233/JAD-142847,,2015,Journal of Alzheimer's disease : JAD,Serum miR-206 and miR-132 as Potential Circulating Biomarkers for Mild Cognitive Impairment.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,no
25617425,10.1373/clinchem.2014.232165,,2015,Clinical chemistry,MicroRNA in vitro diagnostics using immunoassay analyzers.,AD,"Evaluation Study; Journal Article; Research Support, Non-U.S. Gov't",no,no,no,yes,no
26484928,10.3233/JAD-150619,,2016,Journal of Alzheimer's disease : JAD,Circulating microRNAs as Biomarkers of Alzheimer's Disease: A Systematic Review.,AD,Journal Article; Systematic Review,yes,no,yes,yes,no
26497684,10.18632/oncotarget.6158,PMC4741914,2015,Oncotarget,Altered microRNA profiles in cerebrospinal fluid exosome in Parkinson disease and Alzheimer disease.,AD+PD,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,yes
26631952,10.1016/j.parkreldis.2015.11.014,,2015,Parkinsonism & related disorders,Identification of a panel of five serum miRNAs as a biomarker for Parkinson's disease.,AD+PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no
26973465,10.3389/fncel.2016.00051,PMC4771726,2016,Frontiers in cellular neuroscience,miRNAs Plasma Profiles in Vascular Dementia: Biomolecular Data and Biomedical Implications.,AD,Journal Article,no,yes,yes,yes,yes
27027823,10.1002/cbf.3184,,2016,Cell biochemistry and function,Downregulated serum miR-223 servers as biomarker in Alzheimer's disease.,AD,Journal Article,no,yes,yes,yes,no
27475403,10.1016/j.gpb.2016.04.005,PMC4996855,2016,"Genomics, proteomics & bioinformatics",Absent MicroRNAs in Different Tissues of Patients with Acquired Cardiomyopathy.,AD,Journal Article,no,no,no,no,yes
27501295,10.1089/omi.2016.0099,,2016,Omics : a journal of integrative biology,Can Peripheral MicroRNA Expression Data Serve as Epigenomic (Upstream) Biomarkers of Alzheimer's Disease?,AD,Journal Article,no,no,no,yes,no
27582688,10.3389/fnmol.2016.00069,PMC4987348,2016,Frontiers in molecular neuroscience,Aberration of miRNAs Expression in Leukocytes from Sporadic Amyotrophic Lateral Sclerosis.,PD,Journal Article,no,yes,no,no,yes
27631879,10.1007/s12035-016-0088-8,,2016,Molecular neurobiology,Plasma miR-34a-5p and miR-545-3p as Early Biomarkers of Alzheimer's Disease: Potential and Limitations.,AD+PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no
27709425,10.1007/s10048-016-0497-x,,2016,Neurogenetics,Epigenome-wide DNA methylation analysis in siblings and monozygotic twins discordant for sporadic Parkinson's disease revealed different epigenetic patterns in peripheral blood mononuclear cells.,PD,Journal Article; Twin Study,no,yes,no,no,no
27748571,10.1002/cbf.3224,,2016,Cell biochemistry and function,Serum miR-221 serves as a biomarker for Parkinson's disease.,PD,Journal Article,no,no,no,no,no
27814298,10.3233/JAD-160835,PMC5587208,2017,Journal of Alzheimer's disease : JAD,MicroRNAs in Human Cerebrospinal Fluid as Biomarkers for Alzheimer's Disease.,AD,"Journal Article; Research Support, N.I.H., Extramural",no,yes,no,no,yes
27844283,10.1007/s12035-016-0253-0,PMC5684261,2016,Molecular neurobiology,MicroRNAs in Cerebrospinal Fluid as Potential Biomarkers for Parkinson's Disease and Multiple System Atrophy.,PD,Journal Article,no,yes,no,no,yes
27909844,10.1007/s10895-016-1988-8,,2016,Journal of fluorescence,Design and Fabrication a Gold Nanoparticle-DNA Based Nanobiosensor for Detection of microRNA Involved in Alzheimer's Disease.,AD,Journal Article,no,no,no,no,no
27911315,10.3233/JAD-160848,PMC5240577,2017,Journal of Alzheimer's disease : JAD,Decreased Expression of hsa-miR-4274 in Cerebrospinal Fluid of Normal Pressure Hydrocephalus Mimics with Parkinsonian Syndromes.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,yes
27999671,10.1186/s40364-016-0076-1,PMC5151129,2016,Biomarker research,Plasma microRNA biomarker detection for mild cognitive impairment using differential correlation analysis.,AD,Journal Article,no,yes,no,no,yes
28095900,10.1186/s12916-017-0779-7,PMC5241961,2017,BMC medicine,Post-stroke dementia - a comprehensive review.,AD,Journal Article; Review,yes,no,no,no,yes
28137310,10.1186/s40478-017-0414-z,PMC5282710,2017,Acta neuropathologica communications,Serum microRNA miR-501-3p as a potential biomarker related to the progression of Alzheimer's disease.,AD,Journal Article,no,yes,yes,yes,yes
28181066,10.1007/s10072-017-2841-9,,2017,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,Plasma levels of miR-137 and miR-124 are associated with Parkinson's disease but not with Parkinson's disease with depression.,PD,Journal Article,no,yes,no,no,no
28223160,10.1016/j.neulet.2017.02.045,,2017,Neuroscience letters,MicroRNA biomarkers of Parkinson's disease in serum exosome-like microvesicles.,AD+PD,Journal Article,no,yes,no,no,no
28934394,10.1093/hmg/ddx267,PMC6075184,2017,Human molecular genetics,MicroRNA-455-3p as a potential peripheral biomarker for Alzheimer's disease.,AD,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",no,yes,no,no,yes
29036818,10.3233/JAD-170343,,2017,Journal of Alzheimer's disease : JAD,A 9-microRNA Signature in Serum Serves as a Noninvasive Biomarker in Early Diagnosis of Alzheimer's Disease.,AD,Journal Article; Validation Study,no,yes,yes,yes,no
29060554,10.1109/EMBC.2017.8037513,,2017,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Ensemble transfer learning for Alzheimer's disease diagnosis.,AD,Journal Article,no,no,no,no,no
29070791,10.1038/s41598-017-13700-w,PMC5656592,2017,Scientific reports,Identification of molecular alterations in leukocytes from gene expression profiles of peripheral whole blood of Alzheimer's disease.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,yes
29121998,10.1186/s13195-017-0316-0,PMC5679501,2017,Alzheimer's research & therapy,Circulating brain-enriched microRNAs as novel biomarkers for detection and differentiation of neurodegenerative diseases.,AD+PD,Journal Article,no,yes,no,no,yes
29214873,10.1080/21691401.2017.1411930,,2017,"Artificial cells, nanomedicine, and biotechnology",A highly sensitive miR-195 nanobiosensor for early detection of Parkinson's disease.,PD,Journal Article,no,no,no,no,no
29512080,10.1007/978-1-4939-7704-8_19,,2018,"Methods in molecular biology (Clifton, N.J.)",Analysis of Micro-RNA Expression by qPCR on a Microfluidics Platform for Alzheimer's Disease Biomarker Discovery.,AD,Journal Article,no,no,no,no,no
29559383,10.1016/j.neuroscience.2018.03.016,,2018,Neuroscience,Serum Exosomal miR-223 Serves as a Potential Diagnostic and Prognostic Biomarker for Dementia.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,no
29606187,10.3967/bes2018.011,,2018,Biomedical and environmental sciences : BES,"The Serum Exosome Derived MicroRNA-135a, -193b, and -384 Were Potential Alzheimer's Disease Biomarkers.",AD+PD,Journal Article,no,no,no,no,no
29670823,10.1002/brb3.941,PMC5893342,2018,Brain and behavior,Identification of aberrant circulating miRNAs in Parkinson's disease plasma samples.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,yes
29707120,10.18632/oncotarget.24736,PMC5915128,2018,Oncotarget,miRNA-based signatures in cerebrospinal fluid as potential diagnostic tools for early stage Parkinson's disease.,PD,Journal Article,no,no,yes,yes,yes
29746584,10.1371/journal.pone.0197329,PMC5945001,2018,PloS one,Specific serum and CSF microRNA profiles distinguish sporadic behavioural variant of frontotemporal dementia compared with Alzheimer patients and cognitively healthy controls.,AD,"Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't",no,no,yes,yes,yes
29782966,10.1016/j.nbd.2018.05.007,PMC6240498,2018,Neurobiology of disease,Epilepsy biomarkers - Toward etiology and pathology specificity.,AD,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Review",yes,yes,no,no,yes
29800558,10.1016/j.cca.2018.05.039,,2018,Clinica chimica acta; international journal of clinical chemistry,Circulating microRNAs as novel biomarkers of Alzheimer's disease.,AD,Journal Article; Review,yes,no,no,no,no
29885309,10.1016/j.clinbiochem.2018.05.020,,2018,Clinical biochemistry,Micro RNA as a potential blood-based epigenetic biomarker for Alzheimer's disease.,AD,Journal Article; Review,yes,no,no,no,no
30178852,10.26355/eurrev_201808_15727,,2018,European review for medical and pharmacological sciences,Circulating exosomal miRNAs as diagnostic biomarkers in Parkinson's disease.,PD,Journal Article,no,no,no,no,no
30233304,10.3389/fnins.2018.00625,PMC6135037,2018,Frontiers in neuroscience,Circulating miRNAs as Diagnostic Biomarkers for Parkinson's Disease.,PD,Journal Article; Review,yes,no,no,no,yes
30557454,10.1002/mds.27542,,2018,Movement disorders : official journal of the Movement Disorder Society,The biomarker potential of cell-free microRNA from cerebrospinal fluid in Parkinsonian Syndromes.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,no
30618559,10.3389/fnins.2018.00930,PMC6297847,2018,Frontiers in neuroscience,Impact of Metabolic Syndrome on Neuroinflammation and the Blood-Brain Barrier.,AD,Journal Article; Review,yes,no,no,no,yes
31003905,10.1016/j.parkreldis.2019.04.010,,2019,Parkinsonism & related disorders,Combinatory microRNA serum signatures as classifiers of Parkinson's disease.,AD+PD,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",no,yes,no,no,no
31092279,10.1186/s13195-019-0501-4,PMC6521366,2019,Alzheimer's research & therapy,Altered microRNAs related to synaptic function as potential plasma biomarkers for Alzheimer's disease.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,yes
31204500,10.1177/0963689719857085,PMC6728707,2019,Cell transplantation,MicroRNA-101a Regulates Autophagy Phenomenon via the MAPK Pathway to Modulate Alzheimer's-Associated Pathogenesis.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,yes,yes,yes
31290435,10.4103/1673-5374.259602,PMC6676865,2019,Neural regeneration research,MicroRNAs as biomarkers of diabetic retinopathy and disease progression.,AD,Journal Article; Review,yes,no,no,no,yes
31385521,10.2217/bmm-2018-0341,,2019,Biomarkers in medicine,Blood circulating miRNAs as biomarkers of Alzheimer's disease: a systematic review and meta-analysis.,AD,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",yes,no,yes,yes,no
31420923,10.1002/jcla.23006,PMC6977154,2019,Journal of clinical laboratory analysis,An investigation of microRNA-103 and microRNA-107 as potential blood-based biomarkers for disease risk and progression of Alzheimer's disease.,AD+PD,Journal Article,no,no,no,no,yes
31450503,10.3233/JAD-190574,,2019,Journal of Alzheimer's disease : JAD,Multivariate Platelet Analysis Differentiates Between Patients with Alzheimer's Disease and Healthy Controls at First Clinical Diagnosis.,AD,Journal Article,no,no,yes,yes,no
31551498,10.1038/s41598-019-50256-3,PMC6760236,2019,Scientific reports,"Expression Profiling of Blood microRNAs 885, 361, and 17 in the Patients with the Parkinson's disease: Integrating Interaction Data to Uncover the Possible Triggering Age-Related Mechanisms.",PD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,yes
31572127,10.3389/fncel.2019.00399,PMC6753175,2019,Frontiers in cellular neuroscience,Upregulated Expression of MicroRNA-204-5p Leads to the Death of Dopaminergic Cells by Targeting DYRK1A-Mediated Apoptotic Signaling Cascade.,PD,Journal Article,no,no,no,no,yes
31572518,10.3892/etm.2019.7855,PMC6755445,2019,Experimental and therapeutic medicine,miR-133b is a potential diagnostic biomarker for Alzheimer's disease and has a neuroprotective role.,AD,Journal Article,no,yes,yes,yes,yes
31591382,10.1038/s41398-019-0579-2,PMC6779890,2019,Translational psychiatry,A combined miRNA-piRNA signature to detect Alzheimer's disease.,AD,"Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't",no,yes,no,no,yes
31592314,10.1186/s40035-019-0169-5,PMC6775659,2019,Translational neurodegeneration,Exploratory study on microRNA profiles from plasma-derived extracellular vesicles in Alzheimer's disease and dementia with Lewy bodies.,AD,Journal Article,no,no,no,no,yes
31598718,10.1093/nar/gkz869,PMC6943056,2020,Nucleic acids research,SEAweb: the small RNA Expression Atlas web application.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,yes
31666070,10.1186/s12920-019-0607-3,PMC6822471,2019,BMC medical genomics,A comparison of machine learning classifiers for dementia with Lewy bodies using miRNA expression data.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,yes
31691877,10.1007/s10571-019-00751-y,PMC11448951,2019,Cellular and molecular neurobiology,Specific Signatures of Serum miRNAs as Potential Biomarkers to Discriminate Clinically Similar Neurodegenerative and Vascular-Related Diseases.,AD+PD,Journal Article,no,no,no,no,yes
31809862,10.1016/j.gpb.2019.09.004,PMC6943763,2019,"Genomics, proteomics & bioinformatics",Machine Learning to Detect Alzheimer's Disease from Circulating Non-coding RNAs.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,yes
31811079,10.1373/jalm.2019.029595,,2020,The journal of applied laboratory medicine,A Machine Learning Approach to Identify a Circulating MicroRNA Signature for Alzheimer Disease.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,yes,yes,no
